movie_name,user_name,comment
Dia Angkasa,cacaaaceew,tetap dilan 190191
Dia Angkasa,vysaa_02,kanapa tidak laura
Dia Angkasa,zoya.adelline,tidak aisyah juga ya saskia chadwick
Dia Angkasa,chinautara,yang sesuai ekspetasi cuman mariposa kayaknya
Dia Angkasa,birunavy30,putih pucat lebih ke laura tidak sih
Dia Angkasa,andria_tyas,banyak sekali yang protes ini serius tidak di ganti pemain nya
Dia Angkasa,loveeeeee22_,sebegitu sempurnanya Aurora dan angkasa smpai tidak bisa menjdi nyata
Dia Angkasa,aelmilkyseniper,walaupun sih iqbal tidak sesuai sama peran dilan tapi dia oke oi dapet sampe gamon dilan
Dia Angkasa,star_light12345,laura maone cocok tidak sih
Dia Angkasa,eslvv_,seputih salju malah jadi eksotis
Dia Angkasa,duniafantasi02,anak wp jadi kecewa
Dia Angkasa,notyourgurllbabee,sejauh ini cuman dear nathan yang melebihi ekspektasi
Dia Angkasa,cadbury__0,Aurora gua harusnya laura mantanya al gazali itu
Dia Angkasa,nicorobin.chwan,yasminaper jg cocok kan tapi mnurutku sih cocok putih pucat jg senyumannya lemah lembut begitu
Dia Angkasa,riasuryapratiwi,aisyah aqilah atau yoriko plis
Dia Angkasa,sptnrhlsaa,kalau tidak laura
Dia Angkasa,r.25ffff,memang lagi trending tidak sih soalnya romeo dan juliet juga begitu
Dia Angkasa,ardinifzla,jauh sekali melesatnya di shenina
Dia Angkasa,deksall___,laura sih
Dia Angkasa,martabak3967,tahu tidak sih ini bukan cuman masalah visual tapi juga kualitas akting para artist nya ada yang cocok dn tidak cocok meranin mungkin artis yang kalian harapin eh prnh di cast emg cocok visual nya tapi kalau
Dia Angkasa,baiqerlinup25,yang sesuai cuman gez an
Dia Angkasa,777rm77777,ternyata menjadi actres profesional itu susah ya
Dia Angkasa,justcallmefenni,laura moane cakep sekali jadi Aurora
Dia Angkasa,sayjasmine,bayangan saya tetep manurios sama dasha sih
Dia Angkasa,xx.win_,putih pucat itu natasha wilona aisyah aqila banyak lagi
Dia Angkasa,thisis_cebungg,kenapa tidak aisyah saja
Dia Angkasa,raynayy7,kalau tidak aisyah aqilah minimal dasha taran
Dia Angkasa,bluepeople5,ini yang milih orang orangnya pada baca dulu gasih
Dia Angkasa,naswaaulia18,caitlin sih cocok
Dia Angkasa,vioo1981,dilan dear nathan melodylan antares galaxi dulu itu saat sekali tahu
Dia Angkasa,vivieraa_f,yang sesuai ekspetasi cuman antares dear nathan pls
Dia Angkasa,belanrj_,auroraku kehilangan kulit putih dan bibir mungilnya
Dia Angkasa,_xysuci,girlyang sesuai ekspektasi adalah antares
Dia Angkasa,golazoswag,tidak baca novelnya tuh orang yang bikin film
Dia Angkasa,user8100662976953,aisyah udh saat sekali
Dia Angkasa,intnauliarhm8,dania salsabila cocok juga pdahal
Dia Angkasa,syasukamatcha,nyatanya angkasa dan Aurora terlalu sempurna untuk menjadi nyata
Dia Angkasa,mamgemoyy_,putih abu2
Dia Angkasa,dheacsalsabilla,jauh sekali mentalnya
Dia Angkasa,ayuwidiy_,dia terus heran
Dia Angkasa,ryanbano_,shena u cocok kok jadi pemeranya mungkin orangorang sedikit kecewa tapi gp u luar biasa bngt
Dia Angkasa,_cylacy,kecewa berat gw
Dia Angkasa,glass_slipper_flower,atau ngak yang dulu pernah jadi pemeran luna di film my heart tapi saya lupa siapa namanya yang sih farel itu yang jadi adipati dolken
Dia Angkasa,iamatchaloverss,yaudah positifvthinkng saja nanti saat di filemnya dia dimakeupin jadi putih
Dia Angkasa,ikiii_340,ucapan orang membuatmu banyak rezeki shenina
Dia Angkasa,christy.angelinaa,ibu ketua satrova
Dia Angkasa,ptrxyz5,cinamon sok asik
Dia Angkasa,ggirl1405,beby tsabina sandrina aysah aqilah casadra le wilona
Dia Angkasa,erreennnn_,m enjel yang sesuai ekspektasi adalah antares
Dia Angkasa,sshilov,kalau tidak aisyah ya beby tsabina tidak sih
Dia Angkasa,yunitresna0,paling cocok maudy efrosina
Dia Angkasa,cill.iell,Aurora lebih ke laura moane sih
Dia Angkasa,_acaa.38,angkasa kehilangan mata elang nya Aurora kehilangan kulit putih pucat nya padahal sudah seneng sekali tapi tidak sesuai ekspektasi saya
Dia Angkasa,yourstaaaa,simpen jef aisyah buat antariksa
Dia Angkasa,user6509233946186,inget pemeran dilan yang bilang iqbal nga cocok jadi pemeranyand let se filmnya boming dan nga ada yang bisa gantin dilan selain iqbal
Dia Angkasa,goldzzzy,menyalah mursid
Dia Angkasa,littlewoman182,tidak kebayang gimana kalau heaven gua nyata
Dia Angkasa,hardiantiamran,betul
Dia Angkasa,auuri._,catlin saat main menjelang ajal dia pernah make bandana biru dan dia tu persis sekali vibe nya kaya rora
Dia Angkasa,sitiaditriya,Aurora sekarang tan skin
Dia Angkasa,ti_araaw,pdhl yang gua bayangin laura moane
Dia Angkasa,indriapramudyastu,kalau pd kecewa gini masih mungkin diganti tidak sih
Dia Angkasa,faritzaaa,ketuan jg tidak sih dia buat jadi anak sma
Dia Angkasa,shoniswaka,ih kok saya mikirnya eca ya
Dia Angkasa,raknmii2,Aurora magrib
Dia Angkasa,sintiyapermatadn_,hm
Dia Angkasa,_24meiiii_,kenapa tidak sesuai ekspektasiku takut nonton nya
Siksa Kubur,pak_bule,kita tidak butuh mata untuk melihat kita hanya butuh percaya
Siksa Kubur,bmaxx_04,bang ini suasana filmnya kayak siksa kubur yang di YouTube tidak
Siksa Kubur,zonasugarglider,bapak selama nonton langsung sudah paham dengan alurnya atau masih bingung juga pak
Siksa Kubur,marc_ff_2gether_4ever,kenapa pintar sekali pak hendra menyimpulkan nya kayak tugas buat anak disuruh ngresumepasti nilai bapak tertingi
Siksa Kubur,rawrevin,menurutku scenenya adil dihantui mayat itu semacam trauma dan flashback yang dimunculin pas dia sekarat dipatok ular
Siksa Kubur,tedim004,jadi endingnya tidak gantung ya
Siksa Kubur,btstuffbyz,man rabuka itu artinya apa ya
Siksa Kubur,aditpray_,saya malah ada pendapat lain tentang endingnya hehe
Siksa Kubur,n4k0.yamamura,sebenarnya sih intinya nonton film ini sabarkrna emang intinya cm di 15mnt trkhr tetapi sebenarnya tidak boring karena dari menit pertama smpe hmpr end dsguhin akting2 yang jempolan semua
Siksa Kubur,ucenk19_,ada yang bisa jelasin ismail
Siksa Kubur,selmar___,baru beres nonton dialog nya terlalu lama jadi bosen malah siksa kuburnya cuma beberapa menit doang
Siksa Kubur,mengadehhhhh1234,saya gabisa fokus gegara brsik sekali seblh saya contohnya saja saya tidak nyadar di ending ada dialog man robuka krena stuasinya rame sekali di samping saya
Siksa Kubur,anwarichsanpraburrauf28,menurut saya sih sita dan adil masih hidup pas dia di kubur yah semuanya hanya mimpi hya sita hinga sita terbangun dan melihat siksa kubur pak wahyu
Siksa Kubur,langkahdody,yang penasaran malah ucapan bu guru ke sita kecil bahwa siksa kubur itu yang di siksa fisik atau jiwa itu yang bikin pertanyan besar
Siksa Kubur,seen_dook,matinya karena apa sita dengan adilgk sudah diksh tau penyebabnya juga difilmnya
Siksa Kubur,pintergak.kursus,kalau kalian mencari jumpscare jangan nonton filem ini
Siksa Kubur,aswinanwarr,makasi bang akhirnya tidak ngah ngeh ngoh lagi hahah
Siksa Kubur,encex.ozora,katanya banyak yang bilang tidak sesuai ekspektasi
Siksa Kubur,wibuforu,iya saya juga mikir begini pas ending sita ditanya manrobuka itu sudah ngejawab semua pertanyan kalau dia dah mati
Siksa Kubur,adius_zuckenberg,sudah nonton tetapi kenapa di tix id rating nya 82 ya padahal bagus sekali film nya
Siksa Kubur,jerrrreeee,brarti siksa kubur itu cuma halusinasi yang berbentuk ketakutan yang pernah dialami slma hidup di dunia
Siksa Kubur,satyodc,joko anwar kasih hints juga itu di x katanya âtitles on ostâ pas check di spotify ada yang judulnya yang melihatnya tak akan bisa keluar selamanya which makes more sense untuk endingnya
Siksa Kubur,privtacy,harusnya judulnya jangan siksa kubur karna ekspektasi orang2 bakal tingi sekali dengan adegan2 yang banyak siksan aturan judulnya keraguan suster sita
Siksa Kubur,daevnco,penikmat film horor jumpscare sedikit cerita banyak yang tidak suka film siksa kubur bang alesanya banyak ngobrol
Siksa Kubur,see462,menurut q sita dan adil itu belum mati sita hanya pingsan dan bermimpi didalam kubur adil ngk dipatok ular jelas2 ular masuk ke kuburan
Siksa Kubur,daffaalatas_,ada satu dialog yang cuma nongol sekali tetapi jadi salah satu kunci buat mahamin film ini isi dialognya ngejelasin fungsi otak yang masih berfungsi beberapa menit setelah mati
Siksa Kubur,trwdto,mending siksa kubur apa badarawuhi
Siksa Kubur,ilytomie0,berarti bu nani kegiling mesin cuci mimpi sita
Siksa Kubur,priacintadamai,bagus siksa kubur atau siksa neraka bang
Siksa Kubur,yourza_,saya itu pengen sekali joko anwar ngasih pov ismailkrna mnrut saya kalau tidak ad pov nya kek tidak enak alurnya
Siksa Kubur,suksesdenganadil,takut seperti takut punya istri 4 takut sukses
Siksa Kubur,aull00014,habis nonton siksa kubur saya nangis kejer anjir gtau knpa
Siksa Kubur,r07sky,saya kaget pas bom meledak anj
Siksa Kubur,17.11oclock,siapa ismail kenapa ismail minta tolong
Siksa Kubur,wkwkwkw10000,tetapi kan adil tidak kekurangan oksigen
Siksa Kubur,username_k4n,menurut saya ya film nya melenceng dari judul malah jadi seperti bukan siksa kubur
Siksa Kubur,dailyroseeeee,bukanya siksa kubur itu sesuai amalan bukan hal yang ditakutkan
Siksa Kubur,ishlla_9,apan gada jumpscare w nton jantungan
Siksa Kubur,clarisaalft,please kasih saran mendingan nonton siksa kubur apa badarawuhi ya guys
Siksa Kubur,crofflesszz___,film nya bagus cmn aga bingung dengan alurnya
Siksa Kubur,heihalloday,jawaban film ini orang mati tidak tau kalau dirinya sudah mati dan sebelum mati sakaratul maut kita bakal dikasih liat hal2 yang kita takutin
Siksa Kubur,kentkyys,padahal end siksa kubur mudah sekali di pahamin
Siksa Kubur,indra.ashura8,lebih seru mana film siksa kubur apa siksa neraka
Siksa Kubur,bbloavys,dia masuk ke kuburan saya kira itu dia beneran sudah keluar ternyata dia mimpi ya panjang sekali soalnya mimpinya
Siksa Kubur,nayieouu,ini film penuh plot twist
Siksa Kubur,luvly_araaaaa,baru paham jadi siksa kubur kita sesuai apa yang kita takutin ya
Siksa Kubur,p_i_t_o_y_s,intinya jangan tingalkan sholat apapun alasanya jika terlewat tidak sengaja maka qada shalat
Siksa Kubur,nuritaaa7,surat al mulk menyelamatkan dari siksa kubur
Siksa Kubur,astriipi,saya nangis kejer sekali di bioskop pas ucapan istigfar nangis sambil ngucapin astagfirulah
Siksa Kubur,c01062005,tidak ada jumpscare
Siksa Kubur,noneshere00,sebelum nonton siksa kubur kalian harus nonton modus anomali kalau kalian paham film modus anomali kalian pasti paham iki film
Siksa Kubur,aidaafn14,kenapa aku tidak denger man robuka nya ya
Siksa Kubur,itsna213,dari banyak penjelasan ini adalah penjelasan yang paling saya ngerti sih
Siksa Kubur,iqissses,adegan mesin cuci
Siksa Kubur,lanasit,siapa yang jadi trauma dengan mesin cuci
Siksa Kubur,payy______sya,sumpa bagus sekali alur nya unexpected pengemasan nya juga artistik
Siksa Kubur,https.njm00,sp tw klian ada yang msi tidak ngerti ky saya bisa jdi emg gni sih
Siksa Kubur,luminairs0,suka sekali dengan tipe film horor yang begini yang bnr punya alur dan jarang dimiliki film horor indo lain plot twist nya pun mantap pol tetapi orang plot twist awal masih blum mengerti
Siksa Kubur,frast_17,guys ini itu film berat ya bukan jual jumpscare tetapi ini film slowburn
Siksa Kubur,choco.matcha123,benar sesuai nangkepnya saya
Siksa Kubur,jakarz29,ini begini
Siksa Kubur,likabukanlikot,saya tetep tidak mengerti
Siksa Kubur,user4426081927,saya tadinya tidak paham tapi pas akhirnya paham klo suster sita tidak percaya siksa kubur ternyata ada yang tidak paham mesin cuci itu maksudnya apa yah
Siksa Kubur,deloavvv,saya tidak tau
Siksa Kubur,glendkev_,ada jumpscarenya kenapa 12x
Siksa Kubur,risadlyla66,mantap filmnya
Siksa Kubur,mayonnaise.enak,baca komen sambil istighfar ya alah matikanlah kami dalam keadan khusnul khatimah
Siksa Kubur,harryharrycoldmonkeyy,film nya bagus
Siksa Kubur,devithapuz,saya belum berani nonton smpai detik ini
Siksa Kubur,cimenggemuy,lebih seru mana film siksa kubur apa siksa neraka
Siksa Kubur,fadelm_720,ada yang tau pas sita di tarik naik dari kuburan adil matanya tibatiba bengkak itu karena apa ya
Siksa Kubur,moochipii,baru sadar saya
Siksa Kubur,nsya.of,ini penjelasanya haha
Siksa Kubur,luvcacaaaa,trauma pas mesin cuci
Siksa Kubur,marcojulyan_,hereditary dan joker menurut saya joko anwar terinspirasi dri dua film tersebut yang sudah nonton ke 3 nya mungkin paham
Siksa Kubur,dekla.s_,yang pling sya takuti ialah ular dan yang pling sya takuti ia lah siksa kubur dan hri pembalasan dimna amal baik buruk kita di perhitungkan
Siksa Kubur,undarihidayat,seru baca komen mnurut ceramah yang pernah saya denger orang yang baru meningal itu tidak sadar klu dirinya sudah meningal mereka kayak lagi ngerasa bangun
Siksa Kubur,sotar.rambe,pas di siksa saja yang epic sedikit boring tetapi banyak pelajaran yang di ambil
Siksa Kubur,elikasukamakeup,paham tidak sekarang
Siksa Kubur,inirizal,kue afah iya
Siksa Kubur,aliyafdila,pas ada bom kaget
Siksa Kubur,ilhammganz22,hp saya jtoh di muka saya pas di tengah deket sita ma adil saya bilk
Siksa Kubur,ramadawansyafrin,kalau saya takutnya amal ibadah kitapas ahir hayat blom banyak
Siksa Kubur,yaythrill,wkwkwkwkwkw bisi butuh
Siksa Kubur,cokieslouve,ternyata begini coy
Siksa Kubur,www.azm.com,kenapa orang orang suka film siksa kubur dari film siksa neraka ada yang nyebut siksa neraka kek kek film azab emang benar
Siksa Kubur,labilabibabi,agek ngeh
Siksa Kubur,ciansajaw_,waktu saya nonton orng yang duduk di kursi belakang ku pingsan njir
Siksa Kubur,depeem212,tetapi benar habis nonton siksa kubur benerâ² air mata keluar takut sekali asli dengan siksa kubur
Siksa Kubur,panda_ijok,saya barusan nonton cgv profesional sih anak kecil tidak blh ntn saya saja tadi di tanyain ktp ada bocah tadi mau nonton karena tidak ada ktp g blh msk
Siksa Kubur,adxtty_,ini
Siksa Kubur,tumasyulianto17,ada pesan tersembuyi kayanya yayang nangkap pesan tersembunyinya tetap harus bisa memilih hal yang positif ya hati2 jangan sampai salah jalan dan terkecoh
Siksa Kubur,sb.6489,scrol komen isinya brspekulasi smwapasti pak joko lagi senyum sukses bkin penonton trdorong tuk brspekulasi brpikir kerasuntungnya filmnya mnariklw tidak mn mau pnonton brpikir keras
Siksa Kubur,fun_g_,ini penjelasanya sayang
Siksa Kubur,_hheeseungg,ok saya ngerti dikit
Siksa Kubur,xxjks_,menurut saya ya pas adegan terakhir sekali yang sita dengan adil papah memapah di atas kuburan itu nyambung dengan yang katanya âkalau orang sudah meningal itu tidak sadar kalau mereka sudah meninggal tidak sih  
Siksa Kubur,annawushere_,filmnya terlalu berat buat orang yang susah mikir karena ini emg horor religipsikologis jadi emg dibuat mikir bercabang begitu
Siksa Kubur,jucysicho,joko anwar ini pintar bat kenapa dia bisa bikin jalan cerita ada orang yang kepo dengan siksa kubur n cari tau itu bnrn apa tidak g bat
Siksa Kubur,meryfm2602,kalau saya mikirnya kejadian yang terjadi setelah sita masuk kuburan pak wahyu itu semua adalah mimpi diakarena dia tidur waktu dalam kuburanyadan waktu beneran bangun ternyata dia masih dalam kuburan
Siksa Kubur,meyva.azzahra,akhirnya gantung   kenapa bisa bu nani yang matikan handphone padahal tidak keliatan mukanya
Agak Laen,ojolbertopenk,kocak sih filmnya
Agak Laen,aswaribhil,mantap kapan tayang di bioskop nih
Agak Laen,pkmkurnia,parah ini film kocak sekali ketawa sampai capek
Agak Laen,gagaa090,bingung mau nonton ini apa kereta malam
Agak Laen,mocelxd,ayo sayang
Agak Laen,bagasukahoror,agaklaen sekali
Agak Laen,embul03aja,akan tayang di semua kota tidak sih tadi periksa di tixid semarang belum ada
Agak Laen,fatkurkentung,buat ngabuburit besok kamis nih hehe
Agak Laen,yayamomo20,mau nonton
Agak Laen,jurnal.aa,memang agak laen
Agak Laen,sembronoooooo,wort it filmnya
Agak Laen,borsir,buat lah bioskop malaysiagar kami anak tki dapat dapat ntonrindu kampung medan
Agak Laen,pni4501,bagus kayaknya nihselain tanggal 1 tanggal berapa lagi tayang nya
Agak Laen,gajlukan,gas
Agak Laen,papar_onda,yes ini terbaik sekali wort it sekali
Agak Laen,austronot16,uwa mana uwa
Agak Laen,cari_apa_kak5,baru sekali ini nonton film jam perdana tayangnya ful studionya mg lucu sekali ada sedihnya juga
Agak Laen,rita_mitsubhisipekanbaru,sumpah ini film kocak sekali ketawa terus
Agak Laen,cipungnct,ayo gus
Agak Laen,raf1i06,gas
Agak Laen,inifebi.an,sumpah filmya bikin saya ketawa
Agak Laen,gelora99,hari ini rencana pulang kerja mau nonton ini tapi hujan mudahmudahan besok tidak hujan agar dapat nonton ini
Agak Laen,siscaang,kukira akan ketawa 10 ternyata gua yg sedih sekali liat kisah okibunya
Agak Laen,aluu_fals,saya sudah nton film ini
Agak Laen,rifq.h_,menarik ayo nonton
Agak Laen,siburian1005,10 ketawa sampai sakit perut
Agak Laen,shahahala,sakit kepala karena ketawa terus asli
Agak Laen,st3ff_jpg,keren coy parah
Agak Laen,drwidyclinic,kayaknya bagus ini agak laen
Agak Laen,auliaaajaa.__,baru saja nonton yken kita keren sekali ini film nya wajib nonton
Agak Laen,cacantikaaa,ayo ditonton ayo agar ketawa terbatak batak
Agak Laen,rizaallll123,malaysia ada
Agak Laen,bananaa_flo,ayo nonton ini
Agak Laen,liaindrasari87,bagus sekali sih filmnya memang baru saja sekali saya nonton dari awal sampai akhir ful ketawa
Agak Laen,haifiyah22,akhirnya sudah noton
Agak Laen,novitariasinuraya30,ayo
Agak Laen,thauuruss,baru saja di medan saya mau nonton tapi ful dimana-mana tidak ngira akan seramai ini tau gitu saya pesan online saja
Agak Laen,farizpramanaa,saya barusan tadi siang nonton film ini sumpah jeda untuk berhenti ketawa nya itu sebentar bnget sepanjang film kita semua ketawa 1010 deh untuk rate nya
Agak Laen,wahyuagungp15,sudah keluar netflix tidak
Agak Laen,whiteshine97,tadi baru nonton seseru itu
Agak Laen,koibeh,mantap tuh
Agak Laen,leli_harahap,ayo bew
Agak Laen,maegalugu02,asli februari saya diawali nonton ini ketawa
Agak Laen,winda.sitorus,kapan
Agak Laen,skamface123,imajinari sebentar lagi film kaks apakah akan saingi nya
Agak Laen,anggapradaka,gas kah pudan
Agak Laen,_eragirsang,tadi habis pulang kerja langsung nonton ini sumpah ketawa sekali
Agak Laen,napitupulu032,wah ada angi marito di agak laen
Agak Laen,xxviona96,setuju
Agak Laen,i0148273724,10 sih rate nya
Agak Laen,03_m_a_r_11,kurang sih tapi seru kok
Agak Laen,coolcasss1,filmnya seru sekali ketawa tidak berhenti keluar bioskop pun ketawa terus ingat2 filmnya
Agak Laen,bintang2568,yang nonton ayo
Agak Laen,apipuuu55,bener keren sekali lucu lengkap pokok ceritanya
Agak Laen,rainiainiii,wajib sekali sih di tonton sumpah
Agak Laen,juerist,benar sih filmnya dari awal sampai akhir ketawa
Agak Laen,user723553778,keren sekali  ful ketawa dengan sentuhan sedih sedikit layak buat di tonton 2 jam yang tidak membosankan
Agak Laen,buble23__,ayo
Agak Laen,oyay2.1,memang sebagus itu sih 10/10 baru saja sekali balik dari nonton film agak laen
Agak Laen,hardiks80,keren saya sudah nonton tadingik ngik ngik
Agak Laen,stilltill8,nonton saja tidak sih
Agak Laen,bebehhh9296,baru nonton ratenya pokonya 10
Agak Laen,piscesgirls0931,baru saja pulang nton itu asli ketawa sekali sumpah deh
Agak Laen,riyan.bombom,ini film horor bukan sih
Agak Laen,kyeoptttaa,lucu sekali woe harus nonton
Agak Laen,thikalibra,recomendasi bnget pas flm slesai 1bioskop pda tepuk tangan jedany dkit doang buat tidak ketawa
Agak Laen,alex.pranata,10/10 hari ini nonton di plaza blok m
Agak Laen,mogumogurasamelon,of sadgirl kuy ta besok
Agak Laen,taufiq_h_a,saya tadi nonton di bioskop ketawa sekali lucu parah
Agak Laen,happy_jock27,mingu mingu mingu
Agak Laen,lemonteaaa1_,baru tadi nonton bener pecah sekali satu studio ketawa semua
Agak Laen,kayelka,adik marlina sama abang tohar kelanjutanya gmn yah
Agak Laen,thalo_nell,di malaysia ada tidak yah
Agak Laen,iqbale743,mantap sih
Agak Laen,incim_tanjung,emg bnr saya saja tadi nton ketawa terus ada sedih juga lihat si oki
Agak Laen,eaaaaa.__,ayo
Agak Laen,ndjdhejisjs,gas
Agak Laen,yttamantab,pengen nonton
Agak Laen,rinnong_,ayo kak ariyani ariyani
Agak Laen,cenderawasih_63,asli ketawa dari awal
Agak Laen,fitaaa955,semalam baru nonton dibikin ketawa terus 10/10 deh ini worth it sekali buat ditonton
Agak Laen,maulanaadhim8,iya kak kemaren saya nonton satu studio tertawa terbahak bahak
Agak Laen,inii_ik.aaa,ayo
Agak Laen,zilvh8,baru 10 menit lalu nonton ini filmemng ketawa sih ya ngurangi streslah
Agak Laen,fanesyyaa_puttrii,ayo
Agak Laen,uhuyyy5895,sama mba film komedi paling lucu dari pada yg lain
Agak Laen,hi_enjell,tentra
Agak Laen,.tsyx0,keren pokoknya haha
Agak Laen,silviidam,ayo sayang wkwk
Agak Laen,orchardpark_frisca,pecah haha
Agak Laen,ipuladam,baru juga bulan 2
Agak Laen,carryus28,info bioskop bjb adalh ayo
Agak Laen,aiixxrm_26,baru saja siap nonton asli ketawa lucu dan plot twist sekali
Agak Laen,elput111,satu bioskop ketawa dibuatnya
Agak Laen,hendrymaker,asli baru nton ketawa terus sepanjang film di putar di tambah kisah sedih yg bikin air mata tidak terasa netes
Agak Laen,calon.pejabat16,saya nonton ketawa sampai tidak besuaragak laen memang ini film
Agak Laen,soorrrrrr_,nonton nya dimana selain ke bioskop
Agak Laen,julyndasagala,yes
Agak Laen,alokswtcrtdimukamu,lucu sekali loh rek
Agak Laen,raditsiojeng,masterpiece
exhuma,philia_ziia,filemnya bagus banget
exhuma,s0___0n,bang film horor yang seperti ini ada lagi tidak bagus banget ini film
exhuma,kucinghitam_237,kalau aktornya choi min sik filmnya rata bagus
exhuma,fitaliaa91,baru sadar pemeran nya ada lee do hyun sama go eun. pasti keren banget sih
exhuma,sorog6,aktornya bagus semua aktingnya
exhuma,camaricacahey,"tidak expect setannya begitu sih asli, sampai mangap karena speechless"
exhuma,bianbiyun,sumpah sampai sekarang aku masih penasaran sama akhir the wailing yang jahat itu sebenarnya dukunnya apa roh cewek
exhuma,diditrahman13,rate pribadi 100/1000 bagus
exhuma,lamki_21,"sudah menonton tadi, jujur memang agak kurang kalau mau di bandingkan sama the wailing"
exhuma,hoshiii209,"suka banget horror yang begini, tidak banyak jumpscare dan menampilkan penampakan muka seram , cuma bingung di perpindahan lokasi saja sih antara amrik&korea"
exhuma,slcshayyy,ternyata ada mas kunang kenapa baru sadar
exhuma,itsnotyourbusiness_00,mau menonton lagi bagus banget
exhuma,saifuljamal245,saat setannya datang takut banget mana tubuhnya besar banget
exhuma,mycinema__,tidak ada di xxi
exhuma,parmit3915,ayo menonton bagus banget ini
exhuma,xxxgoodgems,"exhuma bagus, tapi emg the wailing belum ada yang ngalahin. saya sampai sekarang belum lanjutin sampai abis the wailing karena semenakutkan itu"
exhuma,neenazee3,la pemainya choi min sik sama kim go eu ya badas
exhuma,user4980001117629,memang keren banget
exhuma,kurusygtakpasti,"aku dah nunggu dari tahun lalu. ntar hr minggu ntn nya, anak dititipin dlu ke neneknya"
exhuma,nicholasgultom004,bagus filmnya
exhuma,humanusia.a,ayo sungguh
exhuma,ayang_jaehoon,sumpah seru pake banget
exhuma,yazhidd,endingnya saya suka
exhuma,chiimmyyy573,film dengan aktor papan atas semua
exhuma,sipalingpaling095,buset choi min sik tuh
exhuma,yuuraaaaa18,tidak mengira banget sama setannya sampai kaget gila tidak bohong seru banget rekomennn asli aktingnya bagus bagus banget semuanya gaboong deh teman-teman rekomendasi
exhuma,dreamer101010101,film exhuma keren bang
exhuma,joersen2,anti mainstream sekali
exhuma,haechangf0606,"filmnya, rekomendasi sekali"
exhuma,ade_parinduri,maaf baguss sekali saya sudah menonton
exhuma,harpin_fjar,"kurang paham sama peti ke , anehh... bisa menjelaskan tidak"
exhuma,ivonikamelia1,saya suka saat kim go eun nyanyikan mantra manggil arwah masuk ke tubuh do hyun
exhuma,vabellaaaa95,bagus banget
exhuma,eunsu_park,ayo menonton ini
exhuma,user2324411143444,shogunnya besar tinggi keren banget
exhuma,yy.nlrs,saya takut banget sama setannya yang besar itu sumpah pen rasanya dibioskop teriak tapi ya bagaimana
exhuma,vanilabluee___,"bagus sekali buy, penasaran"
